what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1247147467841
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1247147467841
java.specification.name,sysinfo,,,"Java Platform API Specification",1247147467841
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1247147467841
java.specification.version,sysinfo,,,"1.5",1247147467841
java.vendor,sysinfo,,,"Apple Inc.",1247147467841
java.version,sysinfo,,,"1.5.0_19",1247147467841
java.vm.info,sysinfo,,,"mixed mode",1247147467841
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1247147467841
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1247147467841
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1247147467841
java.vm.specification.version,sysinfo,,,"1.0",1247147467841
java.vm.vendor,sysinfo,,,"Apple Inc.",1247147467841
java.vm.version,sysinfo,,,"1.5.0_19-137",1247147467841
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1247147480250
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1247147480381
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1247147480442
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1247147485570
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1247147485747
opened,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1247147486329
activated,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1247147486376
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.quickStartAction",1247147486418
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247147530065
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247147540129
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1247147561371
