what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1270701148422
processors,sysinfo,,,"2",1270701148422
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270701148422
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1270701148422
java.specification.name,sysinfo,,,"Java Platform API Specification",1270701148422
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270701148422
java.specification.version,sysinfo,,,"1.6",1270701148422
java.vendor,sysinfo,,,"Apple Inc.",1270701148422
java.version,sysinfo,,,"1.6.0_17",1270701148422
java.vm.info,sysinfo,,,"mixed mode",1270701148422
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270701148422
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270701148422
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270701148422
java.vm.specification.version,sysinfo,,,"1.0",1270701148422
java.vm.vendor,sysinfo,,,"Apple Inc.",1270701148422
java.vm.version,sysinfo,,,"14.3-b01-101",1270701148422
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1270701149520
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1270701149838
