what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1246848875273
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1246848875467
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1246848875499
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246848875547
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1246848875735
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1246848875744
started,bundle,org.eclipse.help.webapp,3.4.0.v20090429_1800,"org.eclipse.help.webapp",1246848876704
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246849393768
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246849402383
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246849561184
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1246849578547
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1246849578638
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1246849578677
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246849588519
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850160094
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850169148
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850176754
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1246850211161
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.quickStartAction",1246850211195
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.helpContents",1246850218392
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850218443
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850223900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850224881
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850328908
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246850332263
