what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1246851763443
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1246851763444
os,sysinfo,,,"macosx",1246851763447
arch,sysinfo,,,"x86",1246851763447
ws,sysinfo,,,"carbon",1246851763447
locale,sysinfo,,,"en_US",1246851763447
processors,sysinfo,,,"2",1246851763447
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1246851763447
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1246851763447
java.specification.name,sysinfo,,,"Java Platform API Specification",1246851763447
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246851763447
java.specification.version,sysinfo,,,"1.5",1246851763447
java.vendor,sysinfo,,,"Apple Inc.",1246851763447
java.version,sysinfo,,,"1.5.0_19",1246851763447
java.vm.info,sysinfo,,,"mixed mode",1246851763447
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1246851763447
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1246851763447
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246851763447
java.vm.specification.version,sysinfo,,,"1.0",1246851763447
java.vm.vendor,sysinfo,,,"Apple Inc.",1246851763447
java.vm.version,sysinfo,,,"1.5.0_19-137",1246851763447
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1246851765958
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1246851765965
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1246851765989
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1246851766019
