what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1246931517750
processors,sysinfo,,,"2",1246931517750
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1246931517750
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1246931517750
java.specification.name,sysinfo,,,"Java Platform API Specification",1246931517750
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246931517750
java.specification.version,sysinfo,,,"1.5",1246931517750
java.vendor,sysinfo,,,"Apple Inc.",1246931517750
java.version,sysinfo,,,"1.5.0_19",1246931517750
java.vm.info,sysinfo,,,"mixed mode",1246931517750
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1246931517750
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1246931517750
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1246931517750
java.vm.specification.version,sysinfo,,,"1.0",1246931517750
java.vm.vendor,sysinfo,,,"Apple Inc.",1246931517750
java.vm.version,sysinfo,,,"1.5.0_19-137",1246931517750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246931539634
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246931719633
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1246931727145
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1246931727169
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1246931727311
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1246931727352
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1246931727461
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1246931727513
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246931727543
