what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1246931727815
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1246931727824
started,bundle,org.eclipse.help.webapp,3.4.0.v20090429_1800,"org.eclipse.help.webapp",1246931728753
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246931972124
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246931996623
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246932001320
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246932019215
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246935536007
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246935544121
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246935724626
started,bundle,org.eclipse.ui.navigator,3.4.0.I20090525-2000,"org.eclipse.ui.navigator",1246936482257
started,bundle,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.resources",1246936482265
opened,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1246936482424
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.TaskList",1246936482478
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1246936482506
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1246936482509
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1246936482559
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936488523
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1246936491682
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936491743
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936498127
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936512554
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936514980
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936516310
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1246936524182
